Month,Return,Ticker
2024-10,-25.11881960700859,INDUSINDBK
2024-11,-24.461773181895236,ADANIENT
2024-10,-19.09240835866075,BAJAJ-AUTO
2024-11,-18.477481353987383,ADANIPORTS
2024-10,-16.405312055558646,NESTLEIND
2024-10,-16.192267502612335,TATACONSUM
2024-11,-15.90727418065548,ASIANPAINT
2024-10,-15.870803584991638,MARUTI
2024-11,-14.837389448538127,BRITANNIA
2024-01,-13.871385666332959,HDFCBANK
2024-01,-12.904508112246402,ASIANPAINT
2024-06,-12.841368904739042,ADANIENT
2024-04,-12.211729941543016,HCLTECH
2024-02,-11.798687089715532,HINDALCO
2024-11,-11.158380940804676,NTPC
2024-01,-11.114536765839373,HDFCLIFE
2024-09,-10.799432572186895,TATAMOTORS
2024-05,-10.196536291107215,TATAMOTORS
2024-03,-9.46697286517194,INFY
2024-04,-9.312000893505333,KOTAKBANK
2024-05,-9.151031960655178,TITAN
2024-06,-8.947564245666712,LT
2024-05,-8.83195848340497,SHRIRAMFIN
2024-09,-8.767627222562835,ONGC
2024-06,-8.745646691485529,BPCL
2024-03,-8.726586077251191,TATACONSUM
2024-01,-8.447925647732745,NESTLEIND
2024-02,-8.263716414540522,ITC
2024-04,-8.0504135486412,HDFCLIFE
2024-04,-7.900422006272015,APOLLOHOSP
2024-05,-7.883101391650108,DRREDDY
2024-04,-7.804204388522332,SUNPHARMA
2024-06,-7.6510198106763045,COALINDIA
2024-07,-7.591726761233075,AXISBANK
2024-03,-7.513003274898863,WIPRO
2024-02,-7.313125771499106,KOTAKBANK
2023-10,-7.2265625,TATASTEEL
2024-08,-7.156571762213626,MARUTI
2023-10,-6.828646604176941,TECHM
2024-08,-6.807533880451529,ADANIPORTS
2024-01,-6.717183226982685,JSWSTEEL
2024-06,-6.682660437513818,ADANIPORTS
2024-08,-6.563278870119092,POWERGRID
2024-05,-6.52404526166902,ONGC
2024-07,-6.456178926031542,BAJFINANCE
2024-08,-6.31669324175151,TATASTEEL
2023-10,-6.202836056057731,SBIN
2024-08,-6.151216100707129,ADANIENT
2024-03,-6.115808040873424,HCLTECH
2024-03,-6.031871187284721,HINDUNILVR
2023-10,-5.961017119333309,BAJFINANCE
2023-10,-5.842018382676138,APOLLOHOSP
2024-09,-5.586091726479473,TCS
2024-07,-5.2457189772460735,HDFCBANK
2023-12,-5.19680422194531,HDFCLIFE
2024-07,-5.020968575860276,TATASTEEL
2023-11,-4.684216865857413,BAJFINANCE
2024-09,-4.525324510053454,INFY
2024-07,-4.351466064405591,NESTLEIND
2024-02,-4.298737955422898,INDUSINDBK
2024-02,-4.29297234630203,HDFCBANK
2024-09,-4.2176540248383105,TECHM
2023-12,-2.677196595407025,MARUTI
2023-11,-0.2913135593220299,SBIN
2023-12,-0.21273706603902923,AXISBANK
2023-12,-0.008897061004187013,BAJAJFINSV
2023-12,0.6286657535208666,SBILIFE
2023-11,0.919875130072837,CIPLA
2023-11,1.5222408860330061,NESTLEIND
2023-11,1.7986451763606606,ITC
