Month,Return,Ticker
2023-11,26.817282096785195,TRENT
2024-05,26.0702875399361,BEL
2024-02,25.10635554982596,TRENT
2023-12,24.923702950152595,BEL
2024-08,24.051258057808273,TRENT
2023-12,23.74365788837883,ADANIPORTS
2023-11,23.495933644844715,HEROMOTOCO
2024-01,22.83905527148771,ONGC
2024-07,22.44000732734933,ONGC
2023-11,22.07901372933595,BPCL
2023-12,20.580268337071995,ADANIENT
2024-01,20.399248358835457,SHRIRAMFIN
2024-07,19.101123595505616,HDFCLIFE
2023-12,18.88051044083526,HINDALCO
2024-02,18.762537859418643,BPCL
2023-11,18.72648335745297,EICHERMOT
2024-06,17.5378576637639,TRENT
2024-07,17.44091023384461,INFY
2024-02,17.03358265451352,M&M
2024-07,16.765988614042694,SBILIFE
2024-04,16.488667604170615,EICHERMOT
2023-12,16.262722980788915,ULTRACEMCO
2024-06,16.035310762608848,SHRIRAMFIN
2024-06,15.931096599864894,WIPRO
2024-01,15.56191698336707,BHARTIARTL
2024-02,15.509920481741691,SBIN
2024-07,15.452744435380495,ITC
2023-11,15.269308148565106,APOLLOHOSP
2024-01,15.250274371331793,ADANIPORTS
2024-06,14.855261573051754,TECHM
2024-05,14.69464338832574,M&M
2024-01,14.422259032099205,BAJAJ-AUTO
2024-03,13.782252597931599,BAJAJ-AUTO
2024-04,13.458371925491392,TRENT
2024-04,13.33098839254308,HINDALCO
2024-06,12.734295845997956,GRASIM
2024-04,12.547300294892866,M&M
2024-05,12.235010413241266,HEROMOTOCO
2024-05,12.230227661534412,ADANIENT
2024-02,12.074292410952093,SUNPHARMA
2024-08,11.932069266738598,BAJAJ-AUTO
2024-09,11.44760532949226,M&M
2024-09,10.963859753192946,BAJAJ-AUTO
2024-09,10.904581040229434,SHRIRAMFIN
2024-04,10.72951207958314,BEL
2024-09,10.571721011843847,HINDALCO
2024-03,10.253444825723397,BAJFINANCE
2024-09,10.249869178440619,TATASTEEL
2024-08,9.068387570344996,BAJAJFINSV
2024-11,8.967043931032329,TECHM
2024-03,8.85089040489057,BHARTIARTL
2024-05,8.827329740632202,BRITANNIA
2023-10,8.602208360220837,NESTLEIND
2024-03,8.427882402041137,MARUTI
2024-11,8.030212681375478,INFY
2024-11,8.02321611471492,HCLTECH
2024-03,7.92718166056636,HINDALCO
2023-10,7.65673175745119,COALINDIA
2024-08,7.20080287697583,SHRIRAMFIN
2024-08,7.030138403828744,CIPLA
2024-11,6.931308004897689,M&M
2024-11,6.535816475076567,TCS
2023-10,5.932482133779872,BAJAJ-AUTO
2023-10,5.833881388061423,SBILIFE
2023-10,4.642805109028212,TRENT
2024-10,2.9173724825898737,SBIN
2024-10,1.4010137989298692,HDFCLIFE
2024-10,1.4006591337099739,ICICIBANK
2024-10,0.9236396890717795,WIPRO
2024-10,0.5503417912177037,HDFCBANK
